,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
114,30223,220684620.0,173479158.0,NLD,0.7860953699446749,0.1302473665675468,0.1839845666697821,"Jarýzy(m.jazyky)čer,chla,ne játra,jikry,mlíčí","Fish: fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
115,30224,139105522.0,130386895.0,ESP,0.9373236455703031,0.22128734814130685,0.250488568325143,"Pakambala velká (Psetta maxima), čerstvá nebo chlazená","Fish: fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
116,30229,261812380.0,129135430.0,DNK,0.4932365306789541,0.06817253252613008,0.1537338478065595,"Ryby platýs.ost.čerst,chl,ne játra,jikry,mlíčí","Fish: fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
117,30231,39713396.0,28875536.0,ESP,0.7270981308171177,0.11190551816771407,0.16799312272368563,"Tuňáci bílí,kříd.čerst,chl,ne játra,jikry,mlíčí","Fish: fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
118,30232,294319547.0,65763058.0,ESP,0.2234410139262684,0.0640899052730919,0.37981937903649987,"Tuňáci žlutopl,čerst,chl,ne játra,jikry,mlíčí","Fish: fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
119,30233,15827851.0,5625438.0,ESP,0.35541388404528196,0.13753368352550446,0.22625276283442247,"Skipjack,tuňák pruhovaný,čerst,chl,ne játra,jikry,mlíčí","Fish: fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
120,30234,77367243.0,15793350.0,ESP,0.2041348429593129,0.0910165465264998,0.31069642006497367,Tuňák velkooký - čerstvý,"Fish: fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
121,30235,302554706.0,166565380.0,ESP,0.5505297941060616,0.1697555245385086,0.3646840400082917,"Tuňák obecný a tuňak Pacific bluefin tuna, čerství nebo chlazení","Fish: fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
122,30236,23252210.0,2925986.0,ITA,0.1258368989442294,0.3097484849602784,0.700277521983542,"Tuňák australský,čerstvý,chlazený,ne játra,jikry,mlíčí","Fish: fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
123,30239,37824881.0,10049686.0,ESP,0.26568982464214497,0.10054146853346099,0.4446766557650539,"Tuňáci ost.čerst,chlaz,ne játra,jikry,mlíčí","Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
