HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
854459,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,"HAL open science paper: ""Competitive advantage in the renewable energy industry: Evidence from a gravity model"" by Onno Kuik, FrÃ©dÃ©ric Branger, Philippe Quirion, 2019; https://hal.science/hal-04431247/document",IN,,N,0.0400
860711,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
850980,A03. Budovy,A03b. Elektrifikace domácností,Domácí elektrické spotřebiče,LSE Navigator,IN,,N,0.0400
860730,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
840420,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),LSE Navigator,IN,,N,0.0400
841861,A03. Budovy,A03b. Elektrifikace tepelného hospodářství,Tepelná čerpadla a HVAC,LSE Navigator,IN,,N,0.0400
848360,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,LSE Navigator,IN,0.0840,Y,0.0840
860691,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
902720,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Chromatografy,LSE Navigator,IN,,N,0.0400
392111,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
392113,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
903020,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Osciloskopy,LSE Navigator,IN,,N,0.0400
860729,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
871200,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
440130,OUT,OUT,OUT,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",OUT,,N,0.0400
847930,OUT,OUT,OUT,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",OUT,,N,0.0400
